Date,Count
2015-09-13,1
2015-09-15,5
2015-09-17,2
2015-09-18,5
2015-09-19,1
2011-08-31,1
2017-06-08,11
2015-06-10,7
2015-06-13,3
2015-06-15,5
2015-06-14,4
2015-06-17,1
2015-06-16,1
2015-06-19,1
2014-04-29,1
2014-04-24,6
2014-04-23,1
2014-04-22,2
2014-04-21,1
2014-04-20,5
2015-02-14,1
2015-02-17,1
2015-02-16,3
2015-02-11,1
2015-02-10,3
2015-02-13,3
2015-02-12,8
2012-09-30,1
2011-03-16,1
2011-03-14,2
2011-03-15,1
2011-03-13,2
2011-03-10,2
2010-01-31,3
2010-01-30,5
2011-03-18,1
2011-03-19,1
2016-10-31,1
2010-04-18,1
2010-04-17,1
2010-04-15,1
2010-03-26,1
2010-03-24,1
2010-03-22,1
2010-03-20,1
2016-06-27,6
2016-06-25,1
2016-06-24,2
2016-06-23,3
2017-06-09,21
2016-06-20,1
2017-06-04,2
2017-06-05,5
2017-06-06,2
2017-06-07,9
2017-06-01,4
2017-06-02,2
2017-06-03,5
2016-12-22,2
2011-04-09,1
2017-06-12,7
2011-04-05,1
2011-04-06,5
2017-06-11,1
2011-04-03,2
2016-12-21,1
2017-06-17,15
2017-06-16,12
2017-05-12,6
2017-05-10,15
2017-05-11,9
2017-05-16,9
2017-05-17,27
2017-05-15,7
2017-05-18,1
2017-05-19,9
2015-09-07,3
2015-09-06,3
2016-11-18,1
2015-09-03,3
2015-09-01,3
2016-11-12,2
2016-11-10,1
2016-11-11,1
2016-11-16,3
2016-11-17,5
2016-11-14,3
2016-11-15,2
2016-12-29,1
2016-04-30,2
2015-06-24,3
2011-08-09,7
2015-06-26,1
2010-09-09,1
2015-06-20,2
2012-05-31,2
2015-06-28,4
2015-06-29,4
2015-02-20,1
2012-09-09,1
2015-02-22,2
2015-02-23,6
2015-02-24,1
2015-02-25,2
2015-02-26,1
2015-02-28,5
2012-09-03,1
2012-09-05,2
2012-09-07,1
2014-07-16,1
2013-11-22,1
2013-11-26,2
2013-11-27,2
2014-07-19,2
2014-07-18,3
2016-01-30,1
2012-10-02,21
2012-10-03,4
2012-10-01,33
2012-10-06,6
2012-10-04,7
2013-09-22,4
2013-09-26,10
2013-09-29,1
2010-07-23,2
2010-07-21,2
2011-03-04,3
2011-03-07,1
2011-03-06,2
2011-03-01,5
2011-03-03,4
2011-03-08,2
2017-03-26,2
2010-04-09,1
2010-04-08,1
2010-04-01,2
2010-04-00,1
2010-04-02,1
2010-04-05,1
2010-04-04,3
2010-04-06,6
2013-03-31,1
2017-06-13,21
2014-04-16,2
2016-12-20,2
2017-06-10,2
2016-12-26,1
2016-12-27,1
2017-06-15,14
2017-06-14,2
2017-06-19,8
2017-06-18,8
2017-01-16,1
2017-01-17,3
2017-01-14,4
2017-01-15,2
2017-01-12,4
2017-01-13,3
2017-01-10,22
2017-01-11,3
2017-01-18,1
2011-04-13,1
2011-04-12,1
2011-04-14,2
2017-05-01,15
2017-05-02,3
2017-05-07,7
2017-05-06,4
2017-05-09,1
2017-05-08,5
2016-11-09,4
2016-11-08,5
